,isPinned,isEdited,threadUrn,createdAt,createdAtString,permalink,text,author
0,False,False,,1712271535740,2024-04-04 22:58:55,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7181787351436701696%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287181787351436701696%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"So many people enthusiastic about AI, including me. Yet I have a nagging feeling that we contribute to our own professional demise putting in place such AI systems. Somewhere along the way the moral, ethical aspect of impact on people's lives should be addressed.

We see so many companies implementing the AI technologies and once in place the layoffs are starting. To me it looks that the implementation of these technologies is done without a proper vision regarding of ""what's happening next"" with the people losing their jobs, what would be really the human contribution to overall development of the society in a world dominated by the AI technologies? This has to be discussed and clarified.

Are we going to become ""useless eaters"" as someone put it very disrespectful in an article I read in internet?

Looking forward to your feedback.","{'firstName': 'Gheorghe', 'LastName': 'Kobori', 'urn': 'ACoAACZ7x7cBjzT5PZU0xq7XA0tgfj_89lKm9rc', 'id': '645646263', 'username': 'gheorghe-kobori-a73285160', 'linkedinUrl': 'https://www.linkedin.com/in/gheorghe-kobori-a73285160', 'title': 'Senior Developer Analyst'}"
1,False,False,,0,56245-05-07 12:58:58,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7181787351436701696%29&replyUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7183855118973329408%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287181787351436701696%2Curn%3Ali%3Aactivity%3A7181285160586211328%29&dashReplyUrn=urn%3Ali%3Afsd_comment%3A%287183855118973329408%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"We are making robots more intellectual and humans more automated seems rather backwards to me and ultimately it could lead to the demise of mankind. 
We marvel in our 'progress' in technological advancement but at what price? Are we thinking seriously and sensibly about the future?","{'firstName': 'Adam', 'LastName': 'Giles-Wilson BA (Hons) AIIRSM', 'urn': 'ACoAAA8Yf3kBvFthzkYhLm-EuexXmqdDL3sSfec', 'id': '253263737', 'username': 'adam-giles-wilson-ba-hons-aiirsm-7b599870', 'linkedinUrl': 'https://www.linkedin.com/in/adam-giles-wilson-ba-hons-aiirsm-7b599870', 'title': '.'}"
2,False,False,,1712750372023,2024-04-10 11:59:32,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7183795736373870592%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287183795736373870592%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"***Please make certain to read my posts in their ENTIRETY as well as, you and/or the Legal Counsel for Amazon, to answer/respond adequately, detailed and accordingly..


Good morning Andrew R. Jassy/Andrew Jassy/Andy Jassy,
  
       An email that I received a few days ago from the purported Legal Counsel for Amazon stated that: 
“As we have notified you, our firm is representing Amazon in connection with your dispute and all correspondence regarding this matter should be directed to our firm, as it is improper to directly contact an entity that is represented by counsel.  We request that you cease and desist from contacting Amazon or its employees directly.”

With that snippet from that particular email being quoted, it is rather impracticable to adhere to that advice/request when the correspondence/communication between the Legal Counsel for Amazon and I continues with such dissonance/insubordination/tepid cooperation on their end of the spectrum/equation.. ","{'firstName': 'Camisha', 'LastName': 'Rutherford', 'urn': 'ACoAACa0HqYBOGE9i4rOlYLCEGLNbIWKbfOM9A8', 'id': '649338534', 'username': 'camisha-rutherford-746566161', 'linkedinUrl': 'https://www.linkedin.com/in/camisha-rutherford-746566161', 'title': ""Self Employed at Camisha's Internet Endeavors aka Camisha Grena Rutherford""}"
3,False,False,,1712239069740,2024-04-04 13:57:49,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7181651179163058177%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287181651179163058177%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"       To reiterate, as it was stated in previous email(s) and as I stated in a previous email, there should not have been such discrepancies if ""these investigations TYPICALLY take several months"", then the first email sent to me should have made NO mistake about that (the key operative word there being ""TYPICALLY""; it should go without needed additional explanation, but if something has occurred ""TYPICALLY"", then that means it has occurred/happened usually/repeatedly/”as a rule”/consistently/tended to ""without fail"") and the first original email I received shouldn't have made such a huge misstatement and/or it should have appended a correction before I made a call to one of your receptions who claimed that her name is Nicole (of course, I recorded that call and I informed her that I was recording that call as I record all of my important calls; however, she didn't ask/inform me of any recording on her end and, unlike is customary when anybody calls into Amazon.com customer service and when calling into certain law firms, there was NO message of ANY KIND indicating/informing that ""this call may be monitored or recorded for quality assurance"" or something along those lines..) which seems suspicious/suspect, however the first email that I received from your law firm's Legal Counsel for Amazon clearly explicitly stated that ""We will review the matter and respond in due course, but please understand that these investigations typically take two to three months to complete"" (that is what my FIRST email from your law firm stated, definitively/irrefutably/indubitably/verifiably so..). 


To reiterate, that is just amongst a number of times in which Amazon's Legal Counsel have exposed themselves/revealed so many instances of ineptitude/incompetence/obstinateness/brazen prevarications without abandon, without any self-reproach and without commitment/responsibility of duty to due consideration/the acknowledgement of mere ethics, law and equality in this particular case/civil suit.. 


**I WILL REMAIN A VIRGIN FOREVER.","{'firstName': 'Camisha', 'LastName': 'Rutherford', 'urn': 'ACoAACa0HqYBOGE9i4rOlYLCEGLNbIWKbfOM9A8', 'id': '649338534', 'username': 'camisha-rutherford-746566161', 'linkedinUrl': 'https://www.linkedin.com/in/camisha-rutherford-746566161', 'title': ""Self Employed at Camisha's Internet Endeavors aka Camisha Grena Rutherford""}"
4,False,False,,1712749534831,2024-04-10 11:45:34,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7183792224936030208%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287183792224936030208%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"To reiterate, please provide- either from you or the Legal Counsel from Amazon- why the misstatement and/or change of supposed timeframe of the investigation/investigation process from “these investigations typically take two to three months to complete” (as stated in the FIRST email that I received from the purported Legal Counsel for Amazon) to “these investigations typically take several months” (as stated in two subsequent emails that I received later from the purported Legal Counsel for Amazon)??      
      To reiterate (yes, some of this “back and forth” is getting rather redundant and tedious..), this is a rather clear and decisive “open and shut” type of case/civil litigation, as there are no reasonable nor valid oppositions that can be made against the torts/grievances expressed in this case/civil suit and I am noteworthy for not bringing forth a legal/civil cause of action unless I have the ability to provide indubitable/undeniable/verifiable impermeable proof/evidence where need be and/or where the occasion(s) arise(s) that require/necessitate such.."", as I very expressly/clearly included/stated in my ""Personal Demand Letter/Notice/Email"" as well as in multiple other correspondences/communications that I have partaken in with your law firm/legal counsel at this point..","{'firstName': 'Camisha', 'LastName': 'Rutherford', 'urn': 'ACoAACa0HqYBOGE9i4rOlYLCEGLNbIWKbfOM9A8', 'id': '649338534', 'username': 'camisha-rutherford-746566161', 'linkedinUrl': 'https://www.linkedin.com/in/camisha-rutherford-746566161', 'title': ""Self Employed at Camisha's Internet Endeavors aka Camisha Grena Rutherford""}"
5,False,False,,1713064889038,2024-04-14 03:21:29,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7185114916347867136%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287185114916347867136%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"Mistral is also both free and Open Source, so if a small business is experimenting and finds that it is absolutely amazing for their needs, but also unaffordable on Amazon infrastructure, then it should be possible to migrate to private infrastructure comparatively easily.  

(I.e. if there's lock-in it will be via private data training, but it should still be possible to monitor the sunk cost there vs the future cost curve and be able to make a decision before it becomes untenable to disengage.)","{'firstName': 'Michael', 'LastName': 'Hasse', 'urn': 'ACoAAAC5GdMB2T9GmZAQ5SJmrtuk3Bh0qlLdd1I', 'id': '12130771', 'username': 'mhasse', 'linkedinUrl': 'https://www.linkedin.com/in/mhasse', 'title': 'Resolving technology concerns for fellow SMB owners for over 30 years (CTO, CIO, CISO and SDVOSB)'}"
6,False,False,,1712164205946,2024-04-03 17:10:05,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7181337177648234497%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287181337177648234497%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"I have ordered an atomberg fan and Luminx paint to my mother in law's house with the order id 405-9072847-6339556, during the time of delivery they delivered only the fan and the paint is missing. Immediately when I saw the delivery notification I called asked them but they said only the fan was received and thought the paint will be delivered later. Even Though it is an otp delivery part of the item is delivered.

Within an hour I called Amazon customer care. They said they will investigate and will give an update on 21-03-2024 but when I called them they said the investigation is over as it is delivered

So I request you to please verify your investigation properly and deliver the product as soon as possible as I need to apply the paint on the roof. If you are unable to do your investigation and unable to find the product, kindly refund my money to buy it from a local vendor.

I have returned all my eligible products from and cancelled my current orders made on Amazon till I get a resolution for this foolish delivery system which is easily manipulated by the delivery person. As a customer I paid and not received the product. If you don't have a proper system make it robust and fool proof instead making us to suffer.","{'firstName': 'Prasanna', 'LastName': 'Venkatesh', 'urn': 'ACoAAASa--EBOJjC-g7naLSuSZFimLCd6TuFGy4', 'id': '77265889', 'username': 'prasanna-venkatesh-081a6221', 'linkedinUrl': 'https://www.linkedin.com/in/prasanna-venkatesh-081a6221', 'title': 'Principal engineer'}"
7,False,False,,1712338399238,2024-04-05 17:33:19,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7182067797273853953%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287182067797273853953%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"I have ordered an atomberg fan and Luminx paint to my mother in law's house with the order id 405-9072847-6339556, during the time of delivery they delivered only the Atomberg fan and the Luminx paint is missing from the order. Immediately when I saw the delivery notification I called and asked them but they said only the fan was received and thought the paint will be delivered later. Even Though it is an otp delivery part of the item is delivered.

Within an hour I had verified and called Amazon customer care. They said they will investigate and will give an update on 21-03-2024 but when I called them they said the investigation is over as it is delivered.

So I request you to please verify your investigation properly and deliver the product as soon as possible as I need to apply the paint on the roof. If you are unable to do your investigation and unable to find the product, kindly refund my money to buy it from a local vendor.

I have returned all my eligible products from recent purchases and cancelled my current orders made on Amazon till I get a resolution for this foolish delivery system which is easily manipulated by the delivery person","{'firstName': 'Prasanna', 'LastName': 'Venkatesh', 'urn': 'ACoAAASa--EBOJjC-g7naLSuSZFimLCd6TuFGy4', 'id': '77265889', 'username': 'prasanna-venkatesh-081a6221', 'linkedinUrl': 'https://www.linkedin.com/in/prasanna-venkatesh-081a6221', 'title': 'Principal engineer'}"
8,False,False,,1712577947728,2024-04-08 12:05:47,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7183072536467812352%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287183072536467812352%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"AI is here we must make it profitable for our careers, and good will endeavors going foward. The more we understand any tool the better the outcome we will achieve.","{'firstName': 'Tony', 'LastName': 'Wojciechowski', 'urn': 'ACoAAD0DOugBvjtOYxt5poDofALnmAOaZuqXZiU', 'id': '1023621864', 'username': 'tony-wojciechowski-920985246', 'linkedinUrl': 'https://www.linkedin.com/in/tony-wojciechowski-920985246', 'title': 'New Industry Project Director - CHRO/greenfield developer of 7 start up projects.-108 acquisitions- Self Insurance in 39 States /15000 team members. (ASIA cofounder and 5 time President) Profitability developer.'}"
9,False,False,,1712620939407,2024-04-09 00:02:19,https://www.linkedin.com/feed/update/urn:li:activity:7181285160586211328?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7181285160586211328%2C7183252856639025152%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287183252856639025152%2Curn%3Ali%3Aactivity%3A7181285160586211328%29,"Hi ,

Pathetic service nti prime customer I am not getting any help for delay in my product also false update given by agents courier person not responding later on chat just transferred to other agents 4 times no reply I am attaching all the screen shot .

 I want product by tomorrow as I order for my wife to wear on EID if not able to deliver I need to highlight all chats screenshot shot at social media and also have call recording where customer service care person was giving false update

Return to seller without any reason 

Agents dnt know how to handle customer as just transfer to each other not bother to reply customer and also very slow in replying this how Amazon customer service work and support customer I have mentioned  agent name below


Agent name ,Arif,Rupinder, Himashu but no help just transferred to other.

I will escalate further if my product not delivered by 10th April to me exchange product.

Tracking ID: 340661347893
Order # - 

408-4799750-5405113","{'firstName': 'Zameer', 'LastName': 'Shaikh', 'urn': 'ACoAACYStRwBVdeAk23K_qmot0uh8m0AeoRji1Y', 'id': '638760220', 'username': 'zameer-shaikh-aa4b04159', 'linkedinUrl': 'https://www.linkedin.com/in/zameer-shaikh-aa4b04159', 'title': 'Deputy Manager - Service Operations'}"
